page,capture_date,location,price,size,built,floor,url,text
        div class= kratek itemprop= description strong class= rdeca lj. bežigrad, vojkova 49 - študentske sobestrong , 12 m2, soba, zgrajena l. 1940, pritličje, oddamo. cena: 200,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        div v bližini se nahajajo: br  -- ekonomska fakulteta br -- fakulteta za družbene vede br -- fakulteta za upravo br br div 
        energ. razred:
        div class= icon16 ei ei-9998 div  ei v izdelavi
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=5932876 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p strong obseg:strong p p oddamo na novo opremljene enoposteljne sobe s souporabo kuhinjskih in kopalniških prostorov v večnadstropnem objektu - študentski hiši.p p strong podrobnosti:strong p ul li možnost najema sobe s standardno posteljo 90x200cm ali nadstandardno posteljo 140x200cmli li svetle sobeli li opremljenost sob: postelja, omara, stojalo za oblačila, miza, stol, dodatno stojalo za oblačilali li funkcionalno izkoriščeni skupni prostorili li urejeni in redno čiščeni skupni prostorili li zasebnostli ul p strong infrastruktura in ostalo:strong p ul li objekt je stacioniran na vojkovi cesti za bežigradom v bližini fakultet in avtobusnih postajli li možnost najema parkirnega mesta ob objektuli li hiter dostop do ac in centra prestlniceli li v bližini trgovine, pošta, banka itd.li ul p strong dodatne informacije:strong p ul li stroški niso vključeni v najemninoli li manjše sobe - 8 m2: 200€ + stroškili li večje sobe - 12 m2: 230€ + stroškili ul p strong splošne informacije:strong p ul li kontakt: azra kljajić, 031 680 695li li info mail: azra.kljajic@akustikagroup.si li ul div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    akustika group d.o.o. br vojkova cesta 58br 1000 ljubljanabr tel.: a href= tel:051200-400 onclick= trackoutboundlink('akustika group d.o.o. 051200-400', 'oglas-click-tel'); 051200-400a , a href= tel:051208-475 onclick= trackoutboundlink('akustika group d.o.o. 051208-475', 'oglas-click-tel'); 051208-475a p div"

nepremicnine,2020-09-06T14:23:26.077537,"LJ. BEŽIGRAD, V BLIŽINI ŽELEŽNIŠKE POSTAJE",280.0,23.0,1960,3,https://www.nepremicnine.net/oglasi-oddaja/lj-bezigrad-v-blizini-zelezniske-postaje-stanovanje_6358036/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. bežigrad, v bližini želežniške postajestrong , 23 m2, soba, zgrajena l. 1960, 3. nad., bežigrad, dvoposteljna soba, opremljena (oddaja), oddamo. cena: 280,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        div v bližini se nahajajo: br  -- fakulteta za socialno delo br -- medicinska fakulteta br -- pravna fakulteta br br div 
        energ. razred:
        div class= icon16 ei ei-9998 div  ei v izdelavi
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6358036 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p študentom (nekadilcem) oddam posteljo v dvoposteljni sobi s souporabo kuhinje, kopalnice in skupnega prostora. soba je trenutno prosta. soba se nahaja v stanovanju s še dvema enoposteljnima sobama. nahaja se v novakovi ulici. domače živali v stanovanju niso dovoljene.br br mesečna najemnina znaša 280 eur na osebo. stroški so vkjučeni v najemnino. ob vselitvi je potrebno poravnati dve mesečni najemnini in varščino v višini 200 eur.p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:041561-760 onclick= trackoutboundlink('0.zasebna ponudba 041561-760', 'oglas-click-tel'); 041561-760a mojcap div"

nepremicnine,2020-09-06T14:23:26.077537,"LJ. BEŽIGRAD, TOMACEVSKI RONDO OKOLICA",400.0,25.0,2011,1,https://www.nepremicnine.net/oglasi-oddaja/lj-bezigrad-tomacevski-rondo-okolica-stanovanje_6358648/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. bežigrad, tomacevski rondo okolicastrong , 25 m2, garsonjera, zgrajena l. 2011, 13 nad., eni resni in urejeni osebi kompletno opremljeno garsonjero v vila bloku, z vsemi priključki, parkirišče, internet.plus stroški, oddamo. cena: 400,00 eurmesdiv 
	    
        
        energ. razred:
        div class= icon16 ei ei-2 a2div  (10 - 15 kwhm2a)
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6358648 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p izključno  eni  osebi s smislom za red in čistočo, dobremu  in najboljšemu ponudniku dolgoročno!  željeno dolgoročno  predplačilo. varščina pogoj. v stanovanju je nov pralno - sušilni stroj, internet, ktv. zagarantirano parkirišce, mirna lokacija, mini kuhinja, lcd. za ogled kličite samo resni brez posrednikov!  primerno za ljudi, ki imajo radi naravo in mir. do centra vozi avtobus, 4 km... je blizu btc, 2km...soče, pop tv...blizu reke save. stroški od 120 do 180 eur.samo resni za najem brez posrednikov! p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:041756-994 onclick= trackoutboundlink('0.zasebna ponudba 041756-994', 'oglas-click-tel'); 041756-994a p div"

nepremicnine,2020-09-06T14:23:26.077537,"LJ. BEŽIGRAD, PTUJSKA ULICA",220.0,10.0,2009,1,https://www.nepremicnine.net/oglasi-oddaja/lj-bezigrad-ptujska-ulica-stanovanje_6349783/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. bežigrad, ptujska ulicastrong , 10 m2, soba, adaptirana l. 2009, 11 nad., bežigrad, oddam sobo, na odlični lokaciji, oddamo. cena: cca 220,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        div v bližini se nahajajo: br  -- ekonomska fakulteta br -- fakulteta za družbene vede br -- pedagoška fakulteta br br div 
        
        !---- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p študentuštudentki ali mlademu paru, oddam sobo na odlični lokaciji (blizu fakultet ef, fdv, fu, pf, avtobusne postaje..), souporaba kuhinje, jedilnice in kopalnice, najemnina+stroškip div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:031656-200 onclick= trackoutboundlink('0.zasebna ponudba 031656-200', 'oglas-click-tel'); 031656-200a p div"

nepremicnine,2020-09-06T14:23:26.077537,"LJ. BEŽIGRAD, PODMILŠČAKOVA ULICA",170.0,12.0,2013,1,https://www.nepremicnine.net/oglasi-oddaja/lj-bezigrad-podmilscakova-ulica-stanovanje_6176279/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. bežigrad, podmilščakova ulicastrong , 12 m2, soba, adaptirana l. 2013, 13 nad., opremljeno eno in dvoposteljno sobo enemu ali dvema študentoma, oddamo, oddamo. na voljo parkirišče, internet, tv, vrt, bližina fakultet, oddamo. cena: do cca 170,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        
        
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6176279 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p cena: max. 170,00 eurmes + stroškip p interesenti pokličite, na maile ne odgovarjamop div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:040327-367 onclick= trackoutboundlink('0.zasebna ponudba 040327-367', 'oglas-click-tel'); 040327-367a p div"

nepremicnine,2020-09-06T14:23:26.077537,"LJ. BEŽIGRAD, KAMNIŠKA ULICA 26 C",260.0,8.0,1965,1,https://www.nepremicnine.net/oglasi-oddaja/lj-bezigrad-kamniska-ulica-26-c-stanovanje_6359200/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. bežigrad, kamniška ulica 26 cstrong , 8 m2, soba, zgrajena l. 1965, adaptirana l. 2014, 12 nad., oddamo. cena: 260,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        div v bližini se nahajajo: br  -- ekonomska fakulteta br -- fakulteta za družbene vede br -- fakulteta za strojništvo br br div 
        energ. razred:
        div class= icon16 ei ei-4 b2div  (25 - 35 kwhm2a)
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6359200 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p v hiši, mirna okolica, poleti 2012 adaptirano 4 sobno stanovanje (enoposteljne sobe), internet - wifi, pomivalni stroj, 2 x wc, prednost študentke nižjih letnikov, nekadilke.p p hiša se nahaja na odlični lokaciji, 300m do avtobusne postaje (bus 14). v hiši z dvema wc-jema in skupno kuhinjo se nahaja vsa infrastruktura (wifi, pralni stroj, možnost parkiranja, telefona in subvencije). bližina fakultet in vseh pomembnejših prometnih povezav, 20min peš do ef, pf, fsd, fu, fdv oz. 15 min do  centra z busom (10min s kolesom). cena je na osebo + stroški, ki znašajo cca 260eur. ob sklenitvi pogodbe se plača varščina v višini ene najemnine, ki se ob izteku najemnega razmerja vrne.p p pogodba:živali niso dovoljene, prepovedano premikanje pohištva brez dovoljenja najemodajalca, prepovedano žureranje in obiski večjega števila oseb.p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:+386%2041%20779%20011 onclick= trackoutboundlink('0.zasebna ponudba +386 41 779 011', 'oglas-click-tel'); +386 41 779 011a p div"

nepremicnine,2020-09-06T14:23:26.077537,"LJ. BEŽIGRAD, JEŽICA, RUSKI CAR",300.0,16.0,2011,,https://www.nepremicnine.net/oglasi-oddaja/lj-bezigrad-jezica-ruski-car-stanovanje_6191497/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. bežigrad, ježica, ruski carstrong , 16 m2, soba, zgrajena l. 2011, mirnim, urejenim zaposlenim osebamabsolventom oddamo dvoposteljno sobo -souporaba kuhinje in kopalnice. postelja 200 eur + stroški na osebo, oddamo. cena: 300,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        div v bližini se nahajajo: br  -- ekonomska fakulteta br -- fakulteta za družbene vede br -- pedagoška fakulteta br br div 
        energ. razred:
        div class= icon16 ei ei-9999 div  ei ni potrebna (334.člen ez-1)
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6191497 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p če ste naveličani nereda in hrupa v klasičnih študentskih stanovanjih vas vabimo v mirno,prijetno okolje za bežigradom! v hišnem stanovanju  mlajšim redoljubnim oseban (absolventi, mlajši zaposleni, nekadilci) oddamo sobe s souporabo kuhinje in kopalnice. p p hiša ima opremljeno kuhinjo, pralni stroj, wi fi v sobi, dodatna opcija tudi parkirišče.p p blizu so gorenjska in štajerska obvoznica, šola za dizajn v trzinu, ef, pedagoška, gea college, upravna fakulteta, športni objekti - športni park ob savi, hipodrom stožice, fitnes- ter trgovine 800m, bankomat, fast food 800m.p p 100 m stran je avtobusna postaja: 6,8,11,21 ki vas vsakih 10 minut poveže z ostalimi fakultetami in centrom.p p iščemo samo odgovorne osebe z izrazitim čutom za čistočo in sobivanje.če se najdete nam  pošljite kratek predstavitveni email.  p p postelja v veliki dvoposteljni sobi:  200eur na osebo + stroški .oddaja se za obdobje 6-8m,   možnost tudi oddaje kot enoposteljna soba, cena odvisna od trajanja najema 300 eur + stroški za minimum 6-8 mesečni najem.p p  varščina 400 eurp p hišne živali, kajenje, zabave in pre-nočitve tretjih oseb niso dovoljene. p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:+386%2031%20022%20732 onclick= trackoutboundlink('0.zasebna ponudba +386 31 022 732', 'oglas-click-tel'); +386 31 022 732a pošljite email na patrikvism@gmail.com p div"

nepremicnine,2020-09-06T14:23:26.077537,"LJ. BEŽIGRAD, HERBERSTEINOVA ULICA",190.0,17.0,1964,3,https://www.nepremicnine.net/oglasi-oddaja/lj-bezigrad-herbersteinova-ulica-stanovanje_6358390/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. bežigrad, herbersteinova ulicastrong , 17 m2, soba, zgrajena l. 1964, 33 nad., lj. bežigrad, herbersteinova ulica 17 m2, soba, v stavbi zgrajeni l. 1964, 23 nad., dvoposteljna soba s klimo za bežigradom 17 m2 + 5,5 m2 balkon, 5, oddamo. cena: 190,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        div v bližini se nahajajo: br  -- ekonomska fakulteta br -- fakulteta za družbene vede br -- fakulteta za upravo br br div 
        
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6358390 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p oddamo dvoposteljno sobo za dve osebi. soba ima klimo ter balkon (5,5 m2). soba je zelo svetla, okno ima ruleto. v sobi sta postelji z vzmetnicama, večji predalnik za dve osebi in garderobna omara, kar omogoča veliko prostora za shranjevanje. v sobi je še pisarniški stol z mizo. možnost postavitve dodatne pisalne mize.p p stanovanje je v mirni ulici za bežigradom (herbersteinova ulica). v bližini so trgovina, banka, pošta ter lpp postajališče mercator. študijsko središče za bežigradom (ekonomska fakulteta, fdv, fakulteta za upravo) je oddaljeno 5 min peš, do centra je 10 min s kolesom. v stanovanju so še kopalnica, ločen wc ter kuhinja z jedilnico. v stanovanju je tudi pralni stroj. cena ne vključuje stroškov, ki so odvisni od števila oseb v stanovanju. v stanovanju sta poleg te sobe še dve spalnici.p p iščemo študenta ali mlada zaposlena. zaželjeno je, da se že poznata in sobo najameta skupaj. soba je primerna tudi za par. možnost vselitve s septembrom. možnost najema garaže po ugodni ceni.p p cena najema sobe na osebo je 190 eur + stroški. p p najemnik ne plača stroškov upravljanja zgradbe in rezervnega sklada.p p varščina je v višini dveh najemnin.p p za več info lahko pokličete na p p 041915321p p 040540506p p vabljeni na ogled v času po dogovoru, popoldan, po 5. uri.p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:040540-506 onclick= trackoutboundlink('0.zasebna ponudba 040540-506', 'oglas-click-tel'); 040540-506a p div"

nepremicnine,2020-09-06T14:23:26.077537,"LJ. MOSTE, KODELJEVO",350.0,25.0,2019,PK,https://www.nepremicnine.net/oglasi-oddaja/lj-moste-kodeljevo-stanovanje_6344694/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. moste, kodeljevostrong , 25 m2, garsonjera, adaptirana l. 2019, pk1 nad., lastnik sprejme samo študente, oddamo. cena: 350,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        
        energ. razred:
        div class= icon16 ei ei-9998 div  ei v izdelavi
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6344694 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p na kodeljevem, na odlični, mirni lokaciji, oddamo v celoti opremljeno garsonjero.p p enota nudi mirno bivanje in je primerna za 1 ali 2 osebi, v poštev pridejo strong samo študenti-kestrong .p p cena najema: 350€mesec 1 oseba ali  400€mesec 2 osebi + stroški poleti 25€mesecosebo, pozimi 50€mesecoseba.p p 2x varščina.p p sprotno placilo.p p v celoti opremljeno in vseljivo takoj. p p poklicite za več informacij in dogovorite ogled.p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    viping d.o.o. br zgornje gameljne 35br 1211 ljubljana - šmartnobr tel.: a href= tel:070169-622 onclick= trackoutboundlink('viping d.o.o. 070169-622', 'oglas-click-tel'); 070169-622a p div"

nepremicnine,2020-09-06T14:23:26.077537,"LJ. MOSTE, CENTER, S STROŠKI",380.0,21.0,1975,P,https://www.nepremicnine.net/oglasi-oddaja/lj-moste-center-s-stroski-stanovanje_6360670/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. moste, center, s stroškistrong , 21 m2, garsonjera, zgrajena l. 1975, adaptirana l. 2015, p3 nad., opremljena garsonjera v večsobnem stanovanju. s stroški, oddamo. cena: 380,00 eurmesdiv 
	    
        
        energ. razred:
        div class= icon16 ei ei-9998 div  ei v izdelavi
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6360670 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p garsonjera z vsemi priključki, na mirni lokaciji parkirnimi mesti, avtobusna postaja, trgovina, pošta. oddamo delavcema ali paru, 190€osebo, za eno osebo 350€.p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:041599-466 onclick= trackoutboundlink('0.zasebna ponudba 041599-466', 'oglas-click-tel'); 041599-466a p div"

nepremicnine,2020-09-06T14:23:26.077537,"LJ. MOSTE, BLIŽINA PAPIRNICE VEVČE",150.0,12.0,2017,M,https://www.nepremicnine.net/oglasi-oddaja/lj-moste-blizina-papirnice-vevce-stanovanje_6281629/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. moste, bližina papirnice vevčestrong , 12 m2, soba, adaptirana l. 2017, 150 m2 zemljišča, m1 nad., oddamo posteljo v objektu. možnost oddaje sobe več osebamcimrom (4 osebe). cena najema vključuje stroške. prenovljeno, oddamo. cena: 150,00 eurmesdiv 
	    
        
        
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6281629 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:031351-449 onclick= trackoutboundlink('0.zasebna ponudba 031351-449', 'oglas-click-tel'); 031351-449a petarp div"

nepremicnine,2020-09-06T14:23:26.077537,LJ. MOSTE,450.0,30.0,1974,2,https://www.nepremicnine.net/oglasi-oddaja/lj-moste-stanovanje_6355633/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. mostestrong , 30 m2, garsonjera, adaptirana l. 1974, 24 nad., oddamo. cena: 450,00 eurmesdiv 
	    
        
        
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6355633 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:041842-532 onclick= trackoutboundlink('0.zasebna ponudba 041842-532', 'oglas-click-tel'); 041842-532a p div"

nepremicnine,2020-09-06T14:23:26.077537,LJ. MOSTE,150.0,30.0,2019,3,https://www.nepremicnine.net/oglasi-oddaja/lj-moste-stanovanje_6323521/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. mostestrong , 30 m2, garsonjera, adaptirana l. 2019, 33 nad., oddamo. cena: 150,00 eurmesdiv 
	    
        
        energ. razred:
        div class= icon16 ei ei-4 b2div  (25 - 35 kwhm2a)
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6323521 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p v 3 posteljni sobi oddam delavcem, cena z stroški 150 eur na osebo.br br wc. soba, kuhinja ločenabr br cena na osebo, mirna lokacija fiksno s stroški skupaj, kličejo naj resni, ki imajo namen bivati. z vso primerno opremo in priključki:, tv, pralni stroj... takoj vseljivo, kličejo naj resni, ki imajo namen bivati z cimri v 3 posteljni sobi.p p tel: 041 259 678p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:041259-678 onclick= trackoutboundlink('0.zasebna ponudba 041259-678', 'oglas-click-tel'); 041259-678a p div"

nepremicnine,2020-09-06T14:23:26.077537,LJ. MOSTE,350.0,20.0,1950,2,https://www.nepremicnine.net/oglasi-oddaja/lj-moste-stanovanje_6353848/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. mostestrong , 20 m2, garsonjera, zgrajena l. 1950, adaptirana l. 2018, 22 nad., garsoniera primerna za 1 osebo, dvigalo, zaželjeno, da je najemnik nekadilec. primerno za študente, oddamo. cena: 350,00 eurmesdiv 
	    
        
        
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6353848 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:031341-799 onclick= trackoutboundlink('0.zasebna ponudba 031341-799', 'oglas-click-tel'); 031341-799a p div"

nepremicnine,2020-09-06T14:23:26.077537,LJ. MOSTE,280.0,14.0,2016,2,https://www.nepremicnine.net/oglasi-oddaja/lj-moste-stanovanje_6329941/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. mostestrong , 14 m2, soba, adaptirana l. 2016, 22 nad., sobe, oddamo. cena: 280,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        div v bližini se nahajajo: br  -- medicinska fakulteta br -- zdravstvena fakulteta br br div 
        
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6329941 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p od 1.4. oddamo sobe v hiši. ljubljana, zaloška cesta, blizu btc. dvoposteljna soba (cca 14m2) s zakonsko posteljo 160x200, enoposteljna 90x200, z udobno ortopedsko vzmetnico in blazinami iz spominske pene. dobro opremljena kuhinja za skupno uporabo, 2 skupni kopalnici, wi-fi, pralni stroj. iz jedilnice je dostop do balkona z lepim pogledom na ljubljanico in ljubljanski grad. v pritličju se nahaja prostorna dnevna soba. v bližini (5 min peš) so trgovine (lidl, hofer, dm), postaja bicikelj, lpp (2, 9, 11, 20, 25), tržnica, pošta. najem po pogodbi. samo za čiste, urejene osebe, nekadilce in brez domačih živali. cena je fiksna (stroški so vključeni): dvoposteljna soba = 340 eur, enoposteljna soba = 280 eur. ena varschina. več informacije na zs.p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:030350-130 onclick= trackoutboundlink('0.zasebna ponudba 030350-130', 'oglas-click-tel'); 030350-130a p div"

nepremicnine,2020-09-06T14:23:26.077537,"LJ. CENTER, ZALOŠKA",100.0,16.0,1900,P,https://www.nepremicnine.net/oglasi-oddaja/lj-center-zaloska-stanovanje_5927192/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. center, zaloškastrong , 16 m2, soba, zgrajena l. 1900, adaptirana l. 2018, pp, oddamo. cena: 100,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        div v bližini se nahajajo: br  -- fakulteta za šport br -- fakulteta za varnostne vede br -- medicinska fakulteta br br div 
        energ. razred:
        div class= icon16 ei ei-9999 div  ei ni potrebna (334.člen ez-1)
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=5927192 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p strong obseg:strong p p oddamo adaptirano študentsko stanovanje s tremi sobami, souporabo kuhinjskih in kopalniških prostorov.p p proste sobe:p ul li 2x dvoposteljna soba (cca 15 m2)li ul p strong podrobnosti:strong p ul li zasebni vhodli li kolesarnica za hranjenje kolesli li funkcionalno izkoriščeni skupni prostorili li opremljenost sob z pisalno mizo, stolom, posteljo z jogijem, omaro, stojalom za oblačilali ul p strong infrastruktura in ostalo:strong p ul li objekt je stacioniran na zaloški cesti v bližini fakultet in avtobusnih postajli li pogled na reko ljubljanicoli li v bližini trgovina, pošta, banka itd.li ul p strong dodatne informacije:strong p ul li možnost parkiranja ob objektu po dogovoruli li stroški niso vključeni v najemninoli li cena dvoposteljne sobe: 100€ + stroškili li strong najem izključno za študente! strong li ul p strong splošne informacije:strong p ul li nepremičnina je last akustike group d.o.o.li li kontakt: 031 680 695li li info mail: azra.kljajic@akustikagroup.si li ul div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    akustika group d.o.o. br vojkova cesta 58br 1000 ljubljanabr tel.: a href= tel:051200-400 onclick= trackoutboundlink('akustika group d.o.o. 051200-400', 'oglas-click-tel'); 051200-400a , a href= tel:051208-475 onclick= trackoutboundlink('akustika group d.o.o. 051208-475', 'oglas-click-tel'); 051208-475a p div"

nepremicnine,2020-09-06T14:23:26.077537,"LJ. CENTER, VODMATSKA ULICA, SOBA S STROŠKI",330.0,14.0,2017,P,https://www.nepremicnine.net/oglasi-oddaja/lj-center-vodmatska-ulica-soba-s-stroski-stanovanje_6071331/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. center, vodmatska ulica, soba s stroškistrong , 14 m2, soba, adaptirana l. 2017, p1 nad., enoposteljna soba, pritličje, stroški vključeni, brez provizije, oddamo. cena: 330,00 eurmesdiv 
	    
        
        energ. razred:
        div class= icon16 ei ei-6 ddiv  (60 - 105 kwhm2a)
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6071331 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
